,0
0,tennis_swing
1,draw_circle_cw
2,throw
3,draw_circle_ccw
4,tennis_swing
5,throw
6,baseball_swing
7,draw_x
8,swipt_right
9,swipt_right
10,tennis_swing
11,swipt_right
12,swipt_right
13,bowling
14,swipt_left
15,throw
16,arm_cross
17,draw_circle_ccw
18,swipt_left
19,tennis_swing
20,bowling
21,tennis_swing
22,swipt_right
23,swipt_right
24,tennis_swing
25,wave
26,wave
27,arm_cross
28,swipt_left
29,throw
30,baseball_swing
31,wave
32,swipt_left
33,tennis_swing
34,draw_circle_ccw
35,wave
36,boxing
37,wave
38,baseball_swing
39,clap
40,draw_circle_ccw
41,wave
42,draw_x
43,swipt_left
44,draw_circle_ccw
45,tennis_swing
46,draw_x
47,draw_x
48,throw
49,wave
50,wave
51,throw
52,basketball_shoot
53,swipt_left
54,wave
55,wave
56,draw_circle_ccw
57,throw
58,bowling
59,tennis_swing
60,swipt_right
61,tennis_swing
62,baseball_swing
63,bowling
64,draw_circle_cw
65,throw
66,bowling
67,swipt_right
68,bowling
69,wave
70,boxing
71,baseball_swing
72,tennis_swing
73,basketball_shoot
74,bowling
75,swipt_right
76,swipt_right
77,wave
78,wave
79,draw_triangle
80,baseball_swing
81,clap
82,draw_triangle
83,swipt_right
84,tennis_swing
85,draw_triangle
86,draw_triangle
87,wave
88,draw_circle_cw
89,bowling
90,bowling
91,baseball_swing
92,baseball_swing
93,swipt_left
94,tennis_swing
95,baseball_swing
96,draw_circle_cw
97,draw_circle_ccw
98,throw
99,swipt_right
100,swipt_left
101,draw_x
102,draw_circle_ccw
103,basketball_shoot
104,wave
105,draw_circle_cw
106,swipt_left
107,draw_triangle
108,baseball_swing
109,tennis_swing
110,bowling
111,wave
112,baseball_swing
113,throw
114,tennis_swing
115,draw_circle_ccw
116,tennis_swing
117,tennis_swing
118,tennis_swing
119,wave
